YEAR,MONTH,TYPE,NEIGHBOURHOOD,LAT,LON
2018,1,B&E-C,Kitsilano,49.26379158435513,-123.15362164413213
2018,1,B&E-C,Kitsilano,49.263801901792455,-123.15423342161873
2018,1,B&E-C,Kitsilano,49.26380266530096,-123.15427870172323
2018,1,B&E-C,Kitsilano,49.26400082637081,-123.1648366165351
2018,1,B&E-C,Kitsilano,49.264258393709504,-123.18160273215409
2018,1,B&E-C,Kitsilano,49.27065420710573,-123.14730816487248
2018,1,B&E-C,Kitsilano,49.27074704475782,-123.1621139628039
2018,1,B&E-C,Kitsilano,49.270789591835424,-123.15561692656127
2018,1,B&E-C,Marpole,49.203079963803205,-123.12699214357131
2018,1,B&E-C,Marpole,49.207954416734204,-123.14225877537538
2018,1,B&E-C,Marpole,49.2090075074816,-123.11674677384077
2018,1,B&E-C,Marpole,49.21118496101614,-123.11628254097027
2018,1,B&E-C,Marpole,49.21228382028313,-123.14046281908274
2018,1,B&E-C,Mount Pleasant,49.25837937589443,-123.09427643200745
2018,1,B&E-C,Mount Pleasant,49.26152093661789,-123.09814123199007
2018,1,B&E-C,Mount Pleasant,49.26166564943282,-123.1009562465258
2018,1,B&E-C,Mount Pleasant,49.26243407300173,-123.08803079577692
2018,1,B&E-C,Mount Pleasant,49.26247615917769,-123.08258582858821
2018,1,B&E-C,Mount Pleasant,49.26254422500226,-123.09264045508267
2018,1,B&E-C,Mount Pleasant,49.262860803947795,-123.1049538628778
2018,1,B&E-C,Mount Pleasant,49.263050673973275,-123.10467810347026
2018,1,B&E-C,Mount Pleasant,49.263190533009414,-123.11115779733373
2018,1,B&E-C,Mount Pleasant,49.2636111592956,-123.10687184091117
2018,1,B&E-C,Mount Pleasant,49.263625454635964,-123.08904052671596
2018,1,B&E-C,Mount Pleasant,49.26463043189818,-123.10488525736764
2018,1,B&E-C,Mount Pleasant,49.26471816723764,-123.10499154456622
2018,1,B&E-C,Mount Pleasant,49.265244805374145,-123.0869273379939
2018,1,B&E-C,Mount Pleasant,49.265575403019575,-123.1075634198857
2018,1,B&E-C,Mount Pleasant,49.265691469810484,-123.10971225601888
2018,1,B&E-C,Mount Pleasant,49.2664477417494,-123.10428999229994
2018,1,B&E-C,Mount Pleasant,49.266542746409336,-123.10980658291517
2018,1,B&E-C,Mount Pleasant,49.266590931494825,-123.1078299510637
2018,1,B&E-C,Mount Pleasant,49.26812790983814,-123.11166449665518
2018,1,B&E-C,Mount Pleasant,49.268282855332984,-123.09730827975456
2018,1,B&E-C,Mount Pleasant,49.26835657829103,-123.11168435050786
2018,1,B&E-C,Mount Pleasant,49.268927639879166,-123.1046005958484
2018,1,B&E-C,Mount Pleasant,49.26973886614145,-123.09987983519713
2018,1,B&E-C,Mount Pleasant,49.270434775091516,-123.10603261595743
2018,1,B&E-C,Mount Pleasant,49.27114043369544,-123.10669711724451
2018,1,B&E-C,Mount Pleasant,49.27125768556278,-123.10600965334508
2018,1,B&E-C,Mount Pleasant,49.27146886458624,-123.10229365142399
2018,1,B&E-C,Oakridge,49.219127388311584,-123.11933546833156
2018,1,B&E-C,Oakridge,49.22659419511928,-123.12855235014236
2018,1,B&E-C,Oakridge,49.22716404544362,-123.11667649083425
2018,1,B&E-C,Oakridge,49.22778420309086,-123.11665607452736
2018,1,B&E-C,Oakridge,49.228639092230715,-123.13423279988486
2018,1,B&E-C,Oakridge,49.22995035654806,-123.12150935202577
2018,1,B&E-C,Oakridge,49.230218764969734,-123.12159504589191
2018,1,B&E-C,Oakridge,49.23172298583282,-123.11604904919278
2018,1,B&E-C,Renfrew-Collingwood,49.23537464493295,-123.02641107581083
2018,1,B&E-C,Renfrew-Collingwood,49.238517342381435,-123.05073617543162
2018,1,B&E-C,Renfrew-Collingwood,49.25054283828921,-123.0442797511791
2018,1,B&E-C,Renfrew-Collingwood,49.25400960637167,-123.02924381434758
2018,1,B&E-C,Renfrew-Collingwood,49.257501732854955,-123.05251571708139
2018,1,B&E-C,Renfrew-Collingwood,49.26022261189614,-123.04440882870007
2018,1,B&E-C,Renfrew-Collingwood,49.26064103632068,-123.03360885853745
2018,1,B&E-C,Riley Park,49.239200064426186,-123.10161691335706
2018,1,B&E-C,Riley Park,49.239200064426186,-123.10161691335706
2018,1,B&E-C,Riley Park,49.23925836449086,-123.10272140332779
2018,1,B&E-C,Riley Park,49.24884280493497,-123.1134169098717
2018,1,B&E-C,Riley Park,49.24892535297431,-123.10112825690562
2018,1,B&E-C,Riley Park,49.24931656888333,-123.10089067072752
2018,1,B&E-C,Riley Park,49.255939013786886,-123.1150472581936
2018,1,B&E-C,Shaughnessy,49.24541432799072,-123.13779207950567
2018,1,B&E-C,South Cambie,49.23396024587801,-123.1238075855244
2018,1,B&E-C,South Cambie,49.23957156893327,-123.11754051834804
2018,1,B&E-C,South Cambie,49.24940601353763,-123.11544194380379
2018,1,B&E-C,Stanley Park,49.29284775575523,-123.14808098750642
2018,1,B&E-C,Stanley Park,49.29892146251003,-123.135899670079
2018,1,B&E-C,Strathcona,49.26948683743672,-123.09550231550352
2018,1,B&E-C,Strathcona,49.269734033672634,-123.09746377439669
2018,1,B&E-C,Strathcona,49.2786017684136,-123.09916031801833
2018,1,B&E-C,Strathcona,49.27936649086575,-123.0996791188286
2018,1,B&E-C,Strathcona,49.28007582987653,-123.08023572042606
2018,1,B&E-C,Strathcona,49.28031068848041,-123.09337601964822
2018,1,B&E-C,Strathcona,49.28080918950683,-123.0973191107674
2018,1,B&E-C,Strathcona,49.2810551158321,-123.08351640897877
2018,1,B&E-C,Strathcona,49.282272525254484,-123.08116924978835
2018,1,B&E-C,Strathcona,49.28293283708188,-123.08810861617206
2018,1,B&E-C,Strathcona,49.2831137993445,-123.09328632702646
2018,1,B&E-C,Strathcona,49.28377093694927,-123.09524071730371
2018,1,B&E-C,Strathcona,49.2840191457869,-123.09747732585791
2018,1,B&E-C,Sunset,49.208101164434694,-123.08090075497648
2018,1,B&E-C,Sunset,49.22560537355,-123.10142114588459
2018,1,B&E-C,Victoria-Fraserview,49.22347132588584,-123.06592324819839
2018,1,B&E-C,Victoria-Fraserview,49.226348636080594,-123.06576678595151
2018,1,B&E-C,West End,49.279216120894944,-123.13166570723419
2018,1,B&E-C,West End,49.281493166996285,-123.13680512388869
2018,1,B&E-C,West End,49.28202328904894,-123.13793843058495
